obs,deploy_id,ptt,instrument,type,location_class,error_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,offset,offset_orientation,gpe_msd,gpe_u,count,qartod_time_flag,qartod_speed_flag,qartod_location_flag,qartod_rollup_flag,crs,trajectory,animal_age,animal_life_stage,animal_sex,animal_weight,animal_length,animal_length_2,animal,instrument_tag,instrument_location,taxon_name,taxon_lsid,comment,time,z,lat,lon
0,09_14-45869,45869.0,SPOT,User,nan,,,,,,,,,,1.0,2.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-09-23 00:00:00,0.0,34.03,-118.56
1,09_14-45869,45869.0,SPOT,Argos,1,,,,,,,,,,1.0,3.0,1.0,3.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-09-24 05:23:00,0.0,31.925,-128.444
2,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-09-24 06:49:00,0.0,33.658,-118.424
3,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-09-24 22:49:00,0.0,33.679,-119.086
4,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-09-25 11:05:00,0.0,33.377,-117.686
5,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-10-15 04:46:00,0.0,33.862,-118.976
6,09_14-45869,45869.0,SPOT,Argos,1,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-10-16 22:15:00,0.0,34.024,-118.652
7,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-10-18 10:29:00,0.0,34.255,-119.082
8,09_14-45869,45869.0,SPOT,Argos,1,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-03 06:35:00,0.0,34.033,-118.569
9,09_14-45869,45869.0,SPOT,Argos,2,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-06 22:07:00,0.0,34.387,-119.912
10,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-06 23:15:00,0.0,34.384,-119.893
11,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-08 11:50:00,0.0,34.726,-121.063
12,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-09 00:08:00,0.0,35.054,-120.887
13,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-09 00:19:00,0.0,35.054,-120.871
14,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-11 18:47:00,0.0,35.959,-121.483
15,09_14-45869,45869.0,SPOT,Argos,0,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-12 05:09:00,0.0,35.795,-121.425
16,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-12 09:23:00,0.0,35.735,-121.366
17,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-12 11:23:00,0.0,35.695,-121.35
18,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-14 18:31:00,0.0,34.551,-120.701
19,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-14 20:26:00,0.0,34.493,-120.625
20,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-14 22:28:00,0.0,34.445,-120.577
21,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,Speed to avg loc 41 x median,2009-11-18 04:45:00,0.0,34.263,-119.373
22,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-18 21:24:00,0.0,34.248,-119.264
23,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-19 13:28:00,0.0,34.011,-118.82
24,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-28 06:19:00,0.0,34.025,-118.573
25,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-05 00:15:00,0.0,33.605,-118.274
26,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-05 20:25:00,0.0,33.294,-117.723
27,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-07 19:45:00,0.0,32.067,-116.966
28,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-07 20:13:00,0.0,32.093,-116.959
29,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 01:19:00,0.0,33.703,-108.625
30,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 04:30:00,0.0,31.852,-116.691
31,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 13:46:00,0.0,31.686,-116.782
32,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-09 04:09:00,0.0,31.126,-116.51
33,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-09 18:10:00,0.0,30.74,-116.13
34,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 09:19:00,0.0,29.438,-115.723
35,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 09:42:00,0.0,29.464,-116.528
36,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 12:58:00,0.0,31.17,-123.484
37,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 00:13:00,0.0,29.019,-114.94
38,09_14-45869,45869.0,SPOT,Argos,1,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 12:37:00,0.0,28.622,-114.819
39,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 17:09:00,0.0,28.532,-114.66
40,09_14-45869,45869.0,SPOT,Argos,Z,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 23:47:00,0.0,29.157,-110.139
41,09_14-45869,45869.0,SPOT,Argos,2,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-13 01:57:00,0.0,28.267,-114.334
